fdcId,description,carbohydrate_g
2262074,"Almond butter, creamy",21.2
2257045,"Almond milk, unsweetened, plain, refrigerated",0.671
1999631,"Almond milk, unsweetened, plain, shelf stable",0.337
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",11.4
1750340,"Apples, fuji, with skin, raw",15.7
1750341,"Apples, gala, with skin, raw",14.8
1750342,"Apples, granny smith, with skin, raw",14.1
1750343,"Apples, honeycrisp, with skin, raw",14.7
1750339,"Apples, red delicious, with skin, raw",14.8
2346414,"Applesauce, unsweetened, with added vitamin C",12.3
2710815,"Apricot, with skin, raw",10.2
2710822,"Arugula, baby, raw",5.37
2710823,"Asparagus, green, raw",5.1
2710824,"Avocado, Hass, peeled, raw",8.32
1105073,"Bananas, overripe, raw",20.1
1105314,"Bananas, ripe and slightly ripe, raw",23.0
2644285,"Beans, black, canned, sodium added, drained and rinsed",19.8
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",18.8
2644281,"Beans, cannellini, dry",59.8
747444,"Beans, Dry, Black (0% moisture)",
747433,"Beans, Dry, Brown (0% moisture)",
747436,"Beans, Dry, Carioca (0% moisture)",
747437,"Beans, Dry, Cranberry (0% moisture)",
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",
747432,"Beans, Dry, Flor de Mayo (0% moisture)",
747446,"Beans, Dry, Great Northern (0% moisture)",
747438,"Beans, Dry, Light Red Kidney (0% moisture)",
747435,"Beans, Dry, Light Tan (0% moisture)",
747430,"Beans, Dry, Medium Red (0% moisture)",
747441,"Beans, Dry, Navy (0% moisture)",
747439,"Beans, Dry, Pink (0% moisture)",
747445,"Beans, Dry, Pinto (0% moisture)",
747431,"Beans, Dry, Red (0% moisture)",
747443,"Beans, Dry, Small Red (0% moisture)",
747442,"Beans, Dry, Small White (0% moisture)",
747434,"Beans, Dry, Tan (0% moisture)",
2644294,"Beans, great northern, canned, sodium added, drained and rinsed",19.3
2644289,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",21.0
2644290,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",21.4
2644286,"Beans, navy, canned, sodium added, drained and rinsed",20.0
2644292,"Beans, pinto, canned, sodium added, drained and rinsed",19.6
321611,"Beans, snap, green, canned, regular pack, drained solids",4.11
2346400,"Beans, snap, green, raw",7.41
2646174,"Beef, chuck, roast, boneless, choice, raw",0.0
2646175,"Beef, flank, steak, boneless, choice, raw",0.0
2514744,"Beef, ground, 80% lean meat / 20% fat, raw",0.0
2514743,"Beef, ground, 90% lean meat / 10% fat, raw",0.0
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",0.0
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0
2646172,"Beef, ribeye, steak, boneless, choice, raw",0.0
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0
2646173,"Beef, round, top round, boneless, choice, raw",0.852
2727572,"Beef, short loin (NY strip steak), raw",0.221
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",0.0
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.0
2727574,"Beef, top sirloin steak, raw",0.218
2727573,"Beef, tenderloin steak, raw",0.18
2685576,"Beets, raw",8.79
2727571,"Bison, ground, raw",-0.15
2727581,"Blackberries, raw",
2644293,"Blackeye pea, canned, sodium added, drained and rinsed",19.2
2644284,"Blackeye pea, dry",61.8
2346411,"Blueberries, raw",14.6
325871,"Bread, white, commercially prepared",49.2
335240,"Bread, whole-wheat, commercially prepared",43.1
747447,"Broccoli",6.27
2685575,"Brussels sprouts, raw",9.62
2512378,"Buckwheat, whole grain",71.1
2710820,"Bulgur, dry, raw",75.9
790508,"Butter, stick, salted",0
789828,"Butter, stick, unsalted",0
2259792,"Buttermilk, low fat",4.81
2685572,"bok choy, raw",3.51
2346407,"green Cabbage",6.38
2346408,"red Cabbage",6.79
2258587,"baby Carrots",9.08
746764,"Carrots, frozen, unprepared",7.92
2258586,"Carrots",10.3
2685573,"Cauliflower",4.72
2346405,"Celery",3.32
328637,"Cheese, cheddar",2.44
2647443,"Cheese, cotija, solid",2.72
328841,"Cheese, cottage, lowfat, 2% milkfat",4.31
746765,"Cheese, dry white, queso seco",2.07
2259796,"Cheese, feta, whole milk, crumbled",5.58
2647438,"Cheese, monterey jack, solid",1.9
329370,"Cheese, mozzarella, low moisture, part-skim",4.44
2647441,"Cheese, oaxaca, solid",2.4
325036,"Cheese, parmesan, grated",12.4
2259795,"Cheese, parmesan, grated, refrigerated",4.33
2647439,"Cheese, pasteurized process cheese food or product, American, singles",8.19
325198,"Cheese, pasteurized process, American, vitamin D fortified",5.27
2647440,"Cheese, provolone, sliced",2.45
2647442,"Cheese, queso fresco, solid",2.96
746766,"Cheese, ricotta, whole milk",6.86
746767,"Cheese, swiss",1.44
2346399,"Cherries, sweet, dark red, raw",16.2
2710819,"Chia seeds, dry, raw",38.3
2646170,"Chicken, breast, boneless, skinless, raw",0.0
2727569,"Chicken, breast, meat and skin, raw",-0.428
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",0.0
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",0.0
2727566,"Chicken, drumstick, meat and skin, raw",-0.475
2514746,"Chicken, ground, with additives, raw",0.0
2646171,"Chicken, thigh, boneless, skinless, raw",0.0
2727567,"Chicken, thigh, meat and skin, raw",-0.173
2727568,"Chicken, wing, meat and skin, raw",-0.459
2644288,"Chickpeas canned",20.3
2644282,"Chickpeas dry",60.4
2685574,"Collards, raw",7.02
333008,"Cookies, oatmeal, soft, with raisins",69.6
2710835,"Corn flour, masa harina, white or yellow, dry, raw",76.7
2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",14.7
2346384,"Cottage cheese, full fat, large or small curd",4.6
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",7.26
2346385,"Cream cheese",4.56
2346386,"heavy cream",3.8
2346387,"sour Cream",5.56
2684446,"Crustaceans, crab",0.0
2684443,"Crustaceans, shrimp",0.485
2346406,"Cucumber, with peel, raw",2.95
323793,"Egg, white, dried",6.02
323697,"Egg, white, raw, frozen, pasteurized",0.74
329490,"Egg, whole, dried",1.87
323604,"Egg, whole, raw, frozen, pasteurized",0.91
329716,"Egg, yolk, dried",1.07
329596,"Egg, yolk, raw, frozen, pasteurized",0.59
2685577,"Eggplant, raw",5.4
747997,"Eggs, Grade A, Large, egg white",2.36
748967,"Eggs, Grade A, Large, egg whole",0.96
748236,"Eggs, Grade A, Large, egg yolk",1.02
2710827,"Einkorn, grain, dry, raw",68.7
2710828,"Farro, pearled, dry, raw",72.1
746768,"Figs, dried, uncooked",63.9
2684445,"Fish, catfish, farm raised, raw",0.0
2684444,"Fish, cod, Atlantic, wild caught, raw",0.0
333374,"Fish, haddock, raw",0.0
333476,"Fish, pollock, raw",0.0
2684441,"Fish, salmon, Atlantic, farm raised, raw",0.0
2684440,"Fish, salmon, sockeye, wild caught, raw",0.0
2684442,"Fish, tilapia, farm raised, raw",0.0
